,SLWL,SLWR,SCL,SCR,SRWL,SRWR,SDL,SDR,GLWL,GLWR,GCL,GCR,GRWL,GRWR,GDL,GDR,Goalie_Catches,Saved_Shots_Total,Goals_Total,Shots_Total,SV%,SV%_Left,SV%_Right,SV%_LeftWing_Total,SV%_LeftWing_Left,SV%_LeftWing_Right,SV%_Center_Total,SV%_Center_Left,SV%_Center_Right,SV%_RightWing_Total,SV%_RightWing_Left,SV%_RightWing_Right,SV%_Defense_Total,SV%_Defense_Left,SV%_Defense_Right,player_id,player_name
8476876,89,15,95,61,29,59,82,58,19,1,16,5,5,4,5,6,L,488,61,549,0.8888888888888888,0.8676470588235294,0.9234449760765551,0.8387096774193549,0.8240740740740741,0.9375,0.8813559322033898,0.8558558558558559,0.9242424242424242,0.9072164948453608,0.8529411764705882,0.9365079365079365,0.9271523178807947,0.9425287356321839,0.90625,8476876,Malcolm Subban
8479496,221,22,297,199,78,141,229,168,28,7,25,27,12,19,9,13,L,1355,140,1495,0.9063545150501672,0.917686318131257,0.889261744966443,0.8741007194244604,0.8875502008032129,0.7586206896551724,0.9051094890510949,0.922360248447205,0.8805309734513275,0.876,0.8666666666666667,0.88125,0.9474940334128878,0.9621848739495799,0.9281767955801105,8479496,David Rittich
8479312,20,2,9,5,3,12,8,6,4,0,0,0,1,2,1,0,L,65,8,73,0.8904109589041096,0.8695652173913043,0.9259259259259259,0.8461538461538461,0.8333333333333334,1.0,1.0,1.0,1.0,0.8333333333333334,0.75,0.8571428571428571,0.9333333333333333,0.8888888888888888,1.0,8479312,Alex Lyon
8478499,52,1,71,45,18,32,56,45,5,0,7,6,3,6,2,1,L,320,30,350,0.9142857142857143,0.9205607476635514,0.9044117647058824,0.9137931034482759,0.9122807017543859,1.0,0.8992248062015504,0.9102564102564102,0.8823529411764706,0.847457627118644,0.8571428571428571,0.8421052631578947,0.9711538461538461,0.9655172413793104,0.9782608695652174,8478499,Adin Hill
8477967,141,14,148,113,45,74,108,109,16,1,23,14,10,6,4,6,L,752,80,832,0.9038461538461539,0.8929292929292929,0.9198813056379822,0.9011627906976745,0.8980891719745223,0.9333333333333333,0.8758389261744967,0.8654970760233918,0.889763779527559,0.8814814814814815,0.8181818181818182,0.925,0.9559471365638766,0.9642857142857143,0.9478260869565217,8477967,Thatcher Demko
8475789,106,25,137,68,45,90,139,78,14,1,26,10,5,9,5,3,L,688,73,761,0.9040735873850198,0.8951781970649895,0.9190140845070423,0.8972602739726028,0.8833333333333333,0.9615384615384616,0.8506224066390041,0.8404907975460123,0.8717948717948718,0.9060402684563759,0.9,0.9090909090909091,0.9644444444444444,0.9652777777777778,0.9629629629629629,8475789,Jack Campbell
8476412,245,38,274,183,86,158,228,167,31,4,32,26,9,15,11,9,L,1379,137,1516,0.9096306068601583,0.9093886462882096,0.91,0.889937106918239,0.8876811594202898,0.9047619047619048,0.887378640776699,0.8954248366013072,0.8755980861244019,0.9104477611940298,0.9052631578947369,0.9132947976878613,0.9518072289156626,0.9539748953974896,0.9488636363636364,8476412,Jordan Binnington
8476904,81,10,56,47,11,30,42,55,3,0,7,5,2,1,3,1,L,332,22,354,0.9378531073446328,0.926829268292683,0.9530201342281879,0.9680851063829787,0.9642857142857143,1.0,0.8956521739130435,0.8888888888888888,0.9038461538461539,0.9318181818181818,0.8461538461538461,0.967741935483871,0.9603960396039604,0.9333333333333333,0.9821428571428571,8476904,Chris Driedger
8477968,16,1,14,18,2,8,12,15,2,0,4,1,1,1,1,1,L,86,11,97,0.8865979381443299,0.8461538461538461,0.9333333333333333,0.8947368421052632,0.8888888888888888,1.0,0.8648648648648649,0.7777777777777778,0.9473684210526315,0.8333333333333334,0.6666666666666666,0.8888888888888888,0.9310344827586207,0.9230769230769231,0.9375,8477968,Alex Nedeljkovic
8475156,183,44,236,143,67,83,173,151,20,8,17,17,12,9,7,7,L,1080,97,1177,0.9175870858113849,0.9216783216783216,0.9112554112554112,0.8901960784313725,0.9014778325123153,0.8461538461538461,0.9176755447941889,0.932806324110672,0.89375,0.8771929824561403,0.8481012658227848,0.9021739130434783,0.9585798816568047,0.9611111111111111,0.9556962025316456,8475156,Mikko Koskinen
8480162,30,6,16,14,2,9,22,24,2,2,4,2,3,0,1,0,L,123,14,137,0.8978102189781022,0.875,0.9298245614035088,0.9,0.9375,0.75,0.8333333333333334,0.8,0.875,0.7857142857142857,0.4,1.0,0.9787234042553191,0.9565217391304348,1.0,8480162,Matiss Kivlenieks
8479394,197,23,169,143,73,116,182,167,25,0,27,13,8,15,9,5,L,1070,102,1172,0.9129692832764505,0.9,0.9315352697095436,0.8979591836734694,0.8873873873873874,1.0,0.8863636363636364,0.8622448979591837,0.9166666666666666,0.8915094339622641,0.9012345679012346,0.8854961832061069,0.9614325068870524,0.9528795811518325,0.9709302325581395,8479394,Carter Hart
8478406,224,31,267,181,84,151,231,175,21,7,36,19,9,16,12,15,L,1344,135,1479,0.9087221095334685,0.9117647058823529,0.9042016806722689,0.901060070671378,0.9142857142857143,0.8157894736842105,0.8906560636182903,0.8811881188118812,0.905,0.9038461538461539,0.9032258064516129,0.9041916167664671,0.9376443418013857,0.9506172839506173,0.9210526315789473,8478406,Mackenzie Blackwood
8478492,123,19,148,63,34,39,108,97,9,0,20,13,3,10,4,4,L,631,63,694,0.909221902017291,0.9198218262806236,0.889795918367347,0.9403973509933775,0.9318181818181818,1.0,0.8647540983606558,0.8809523809523809,0.8289473684210527,0.8488372093023255,0.918918918918919,0.7959183673469388,0.9624413145539906,0.9642857142857143,0.9603960396039604,8478492,Ilya Samsonov
8478007,152,12,167,117,52,83,132,144,13,3,15,15,8,16,1,7,L,859,78,937,0.9167556029882604,0.9314814814814815,0.8967254408060453,0.9111111111111111,0.9212121212121213,0.8,0.9044585987261147,0.9175824175824175,0.8863636363636364,0.8490566037735849,0.8666666666666667,0.8383838383838383,0.971830985915493,0.9924812030075187,0.9536423841059603,8478007,Elvis Merzlikins
8478470,63,16,71,35,16,29,51,44,10,0,13,5,5,3,5,1,L,325,42,367,0.885558583106267,0.8589743589743589,0.9323308270676691,0.8876404494382022,0.863013698630137,1.0,0.8548387096774194,0.8452380952380952,0.875,0.8490566037735849,0.7619047619047619,0.90625,0.9405940594059405,0.9107142857142857,0.9777777777777777,8478470,Sam Montembeault
8480925,134,28,181,111,75,96,187,136,16,2,19,15,7,7,8,3,R,948,77,1025,0.9248780487804878,0.9202551834130781,0.9321608040201005,0.9,0.8933333333333333,0.9333333333333333,0.8957055214723927,0.905,0.8809523809523809,0.9243243243243243,0.9146341463414634,0.9320388349514563,0.9670658682634731,0.958974358974359,0.9784172661870504,8480925,Pavel Francouz
